2026-08-06,26.8,23.2,17.4,6.5
2026-08-07,27.6,23.2,17.0,0.4
2026-08-08,27.6,23.7,17.8,1.7
2026-08-09,26.5,23.5,19.0,2.5
2026-08-10,27.5,23.5,18.5,0.0
2026-08-11,28.6,23.0,18.4,0.0
2026-08-12,27.8,23.9,16.2,0.0
2026-08-06,26.8,23.2,17.4,6.5
2026-08-07,27.6,23.2,17.0,0.4
2026-08-08,27.6,23.7,17.8,1.7
2026-08-09,26.5,23.5,19.0,2.5
2026-08-10,27.5,23.5,18.5,0.0
2026-08-11,28.6,23.0,18.4,0.0
2026-08-12,27.8,23.9,16.2,0.0
2026-08-06,28.4,23.2,18.4,6.1
2026-08-07,28.3,23.2,15.9,0.6
2026-08-08,27.2,23.7,17.6,4.2
2026-08-09,26.5,23.6,18.3,2.6
2026-08-10,26.5,23.4,15.6,1.3
2026-08-11,27.5,23.1,18.4,0.0
2026-08-12,27.2,23.8,17.0,0.9
